V       Pnum      Pzener
0.020000 0.997493 0.997490
0.060000 0.977656 0.977634
0.100000 0.939126 0.939101
0.140000 0.884080 0.884131
0.180000 0.815532 0.815809
0.220000 0.737068 0.737783
0.260000 0.652556 0.653938
0.300000 0.565865 0.568084
0.340000 0.480608 0.483678
0.380000 0.399918 0.403616
0.420000 0.326265 0.330102
0.460000 0.261319 0.264604
0.500000 0.205868 0.207880
